id,tier,tags,prompt,required_labels,n_properties,property_types
tpl-t1-rt-ABC-raA-3-4,1,templated|triangle|right-angle,Draw a right triangle ABC with the right angle at A. The two legs adjacent to A have lengths 3 and 4. Label all three vertices and mark the right angle at A.,A|B|C,2,right_angle|mark_present
tpl-t1-rt-ABC-raA-5-12,1,templated|triangle|right-angle,Sketch a right triangle ABC with the right angle at A. The two legs adjacent to A have lengths 5 and 12. Label all three vertices and mark the right angle at A.,A|B|C,2,right_angle|mark_present
tpl-t1-rt-ABC-raB-3-4,1,templated|triangle|right-angle,Construct a right triangle ABC with the right angle at B. The two legs adjacent to B have lengths 3 and 4. Label all three vertices and mark the right angle at B.,A|B|C,2,right_angle|mark_present
tpl-t1-rt-ABC-raB-5-12,1,templated|triangle|right-angle,Make a diagram of a right triangle ABC with the right angle at B. The two legs adjacent to B have lengths 5 and 12. Label all three vertices and mark the right angle at B.,A|B|C,2,right_angle|mark_present
tpl-t1-rt-ABC-raC-3-4,1,templated|triangle|right-angle,Show a right triangle ABC with the right angle at C. The two legs adjacent to C have lengths 3 and 4. Label all three vertices and mark the right angle at C.,A|B|C,2,right_angle|mark_present
tpl-t1-rt-ABC-raC-5-12,1,templated|triangle|right-angle,Create a diagram showing a right triangle ABC with the right angle at C. The two legs adjacent to C have lengths 5 and 12. Label all three vertices and mark the right angle at C.,A|B|C,2,right_angle|mark_present
tpl-t1-rt-DEF-raD-3-4,1,templated|triangle|right-angle,I need a drawing of a right triangle DEF with the right angle at D. The two legs adjacent to D have lengths 3 and 4. Label all three vertices and mark the right angle at D.,D|E|F,2,right_angle|mark_present
tpl-t1-rt-DEF-raD-5-12,1,templated|triangle|right-angle,Draw a right triangle DEF with the right angle at D. The two legs adjacent to D have lengths 5 and 12. Label all three vertices and mark the right angle at D.,D|E|F,2,right_angle|mark_present
tpl-t1-rt-DEF-raE-3-4,1,templated|triangle|right-angle,Sketch a right triangle DEF with the right angle at E. The two legs adjacent to E have lengths 3 and 4. Label all three vertices and mark the right angle at E.,D|E|F,2,right_angle|mark_present
tpl-t1-rt-DEF-raE-5-12,1,templated|triangle|right-angle,Construct a right triangle DEF with the right angle at E. The two legs adjacent to E have lengths 5 and 12. Label all three vertices and mark the right angle at E.,D|E|F,2,right_angle|mark_present
tpl-t1-rt-DEF-raF-3-4,1,templated|triangle|right-angle,Make a diagram of a right triangle DEF with the right angle at F. The two legs adjacent to F have lengths 3 and 4. Label all three vertices and mark the right angle at F.,D|E|F,2,right_angle|mark_present
tpl-t1-rt-DEF-raF-5-12,1,templated|triangle|right-angle,Show a right triangle DEF with the right angle at F. The two legs adjacent to F have lengths 5 and 12. Label all three vertices and mark the right angle at F.,D|E|F,2,right_angle|mark_present
tpl-t1-rt-JKL-raJ-3-4,1,templated|triangle|right-angle,Create a diagram showing a right triangle JKL with the right angle at J. The two legs adjacent to J have lengths 3 and 4. Label all three vertices and mark the right angle at J.,J|K|L,2,right_angle|mark_present
