item_id,scenario_id,model,strategy,tier,auto_verdict,q1_overall,q2_predicate,q2_agreement,notes,rater_id,answered_at
tpl-t1-eq-RST-s5__raw_code__anthropic:claude-opus-4-7__r1,tpl-t1-eq-RST-s5,anthropic:claude-opus-4-7,raw_code,T1,pass,yes,all_sides_equal,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-RST-s5__raw_code__anthropic:claude-opus-4-7__r1,tpl-t1-eq-RST-s5,anthropic:claude-opus-4-7,raw_code,T1,pass,yes,required_labels,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-RST-s5__raw_code__anthropic:claude-sonnet-4-6__r1,tpl-t1-eq-RST-s5,anthropic:claude-sonnet-4-6,raw_code,T1,pass,yes,all_sides_equal,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-RST-s5__raw_code__anthropic:claude-sonnet-4-6__r1,tpl-t1-eq-RST-s5,anthropic:claude-sonnet-4-6,raw_code,T1,pass,yes,required_labels,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-RST-s5__raw_code__openai-responses:gpt-5.1__r1,tpl-t1-eq-RST-s5,openai-responses:gpt-5.1,raw_code,T1,pass,yes,all_sides_equal,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-RST-s5__raw_code__openai-responses:gpt-5.1__r1,tpl-t1-eq-RST-s5,openai-responses:gpt-5.1,raw_code,T1,pass,yes,required_labels,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-RST-s5__structured__anthropic:claude-sonnet-4-6__r1,tpl-t1-eq-RST-s5,anthropic:claude-sonnet-4-6,structured,T1,pass,yes,all_sides_equal,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-RST-s5__structured__anthropic:claude-sonnet-4-6__r1,tpl-t1-eq-RST-s5,anthropic:claude-sonnet-4-6,structured,T1,pass,yes,required_labels,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-XYZ-s5__raw_code__anthropic:claude-opus-4-7__r1,tpl-t1-eq-XYZ-s5,anthropic:claude-opus-4-7,raw_code,T1,pass,yes,all_sides_equal,agree-pass,,consensus,2026-05-07T00:39:05.981Z
tpl-t1-eq-XYZ-s5__raw_code__anthropic:claude-opus-4-7__r1,tpl-t1-eq-XYZ-s5,anthropic:claude-opus-4-7,raw_code,T1,pass,yes,required_labels,agree-pass,,consensus,2026-05-07T00:39:05.981Z
